"scenario","scenario_label","n_person","k_per_condition","model","n_rep","estimable_rate","sig_rate","condition_beta_median","memory_interaction_sig_rate","r2_marginal_median","delta"
"alpha_high_effect_stable","High alpha, stable effect",120,15,"base_condition",500,1,1,0.729120211410945,NA,0.0289684005877006,0.75
"alpha_high_effect_stable","High alpha, stable effect",120,15,"condition_by_memory",500,1,1,0.731063999885742,0.06,0.0539957309114761,0.75
"alpha_high_effect_stable","High alpha, stable effect",120,30,"base_condition",500,1,1,0.733474634285431,NA,0.02902769693657,0.75
"alpha_high_effect_stable","High alpha, stable effect",120,30,"condition_by_memory",500,1,1,0.733334305667031,0.062,0.0558575610617036,0.75
"alpha_high_effect_stable","High alpha, stable effect",300,15,"base_condition",500,1,1,0.726025979107025,NA,0.0287952442744471,0.75
"alpha_high_effect_stable","High alpha, stable effect",300,15,"condition_by_memory",500,1,1,0.726214287965497,0.056,0.0533858641210941,0.75
"alpha_high_effect_stable","High alpha, stable effect",300,30,"base_condition",500,1,1,0.736566304889865,NA,0.0293115274428595,0.75
"alpha_high_effect_stable","High alpha, stable effect",300,30,"condition_by_memory",500,1,1,0.737028296960975,0.038,0.0547090977813785,0.75
"alpha_high_item_sensitive","High alpha, item-sensitive effect",120,15,"base_condition",500,1,1,0.713625661032272,NA,0.0272257995725135,0.75
"alpha_high_item_sensitive","High alpha, item-sensitive effect",120,15,"condition_by_memory",500,1,1,0.715497587636364,0.048,0.0521130961087127,0.75
"alpha_high_item_sensitive","High alpha, item-sensitive effect",120,30,"base_condition",500,1,1,0.723127268330663,NA,0.0282145192667846,0.75
"alpha_high_item_sensitive","High alpha, item-sensitive effect",120,30,"condition_by_memory",500,1,1,0.723332544821819,0.05,0.0525535902496021,0.75
"alpha_high_item_sensitive","High alpha, item-sensitive effect",300,15,"base_condition",500,1,1,0.71403504135275,NA,0.0274380704074895,0.75
"alpha_high_item_sensitive","High alpha, item-sensitive effect",300,15,"condition_by_memory",500,1,1,0.71546290823746,0.054,0.0521573792388186,0.75
"alpha_high_item_sensitive","High alpha, item-sensitive effect",300,30,"base_condition",500,1,1,0.728953304237084,NA,0.0284325870190752,0.75
"alpha_high_item_sensitive","High alpha, item-sensitive effect",300,30,"condition_by_memory",500,1,1,0.730110975279911,0.094,0.052670734782906,0.75
"alpha_high_person_sensitive","High alpha, person-sensitive effect",120,15,"base_condition",500,1,1,0.707050748656092,NA,0.0271930549832378,0.75
"alpha_high_person_sensitive","High alpha, person-sensitive effect",120,15,"condition_by_memory",500,1,1,0.705783832442417,0.114,0.051484461310174,0.75
"alpha_high_person_sensitive","High alpha, person-sensitive effect",120,30,"base_condition",500,1,1,0.710794573908962,NA,0.0274038507814009,0.75
"alpha_high_person_sensitive","High alpha, person-sensitive effect",120,30,"condition_by_memory",500,1,1,0.711520166108285,0.168,0.0522750746801288,0.75
"alpha_high_person_sensitive","High alpha, person-sensitive effect",300,15,"base_condition",500,1,1,0.717998385759586,NA,0.0277668673469045,0.75
"alpha_high_person_sensitive","High alpha, person-sensitive effect",300,15,"condition_by_memory",500,1,1,0.718034199013994,0.122,0.0514006671433871,0.75
"alpha_high_person_sensitive","High alpha, person-sensitive effect",300,30,"base_condition",500,1,1,0.721701073781449,NA,0.0279413375254945,0.75
"alpha_high_person_sensitive","High alpha, person-sensitive effect",300,30,"condition_by_memory",500,1,1,0.720336460408653,0.19,0.0526909406909366,0.75
"high_load_memory_moderated","High load, memory-moderated effect",120,15,"base_condition",500,1,1,0.639555725707142,NA,0.0194657616880956,0.55
"high_load_memory_moderated","High load, memory-moderated effect",120,15,"condition_by_memory",500,1,1,0.529585939604458,1,0.2468057454324,0.55
"high_load_memory_moderated","High load, memory-moderated effect",120,30,"base_condition",500,1,1,0.66033260058296,NA,0.0204092293166171,0.55
"high_load_memory_moderated","High load, memory-moderated effect",120,30,"condition_by_memory",500,1,1,0.544184456399615,1,0.248754475289352,0.55
"high_load_memory_moderated","High load, memory-moderated effect",300,15,"base_condition",500,1,1,0.654494528660492,NA,0.0200469338924413,0.55
"high_load_memory_moderated","High load, memory-moderated effect",300,15,"condition_by_memory",500,1,1,0.536254410728266,1,0.249683549027956,0.55
"high_load_memory_moderated","High load, memory-moderated effect",300,30,"base_condition",500,1,1,0.66279396886017,NA,0.0206424613448228,0.55
"high_load_memory_moderated","High load, memory-moderated effect",300,30,"condition_by_memory",500,1,1,0.543038575991501,1,0.251098345917247,0.55
"recognition_alpha_low_effect_stable","Low-alpha recognition, stable effect",120,15,"base_condition",500,1,1,0.501293648127077,NA,0.0181350359909753,0.55
"recognition_alpha_low_effect_stable","Low-alpha recognition, stable effect",120,15,"condition_by_memory",500,1,1,0.503032474818983,0.05,0.0247542277636016,0.55
"recognition_alpha_low_effect_stable","Low-alpha recognition, stable effect",120,30,"base_condition",500,1,1,0.496409512199598,NA,0.017560816656741,0.55
"recognition_alpha_low_effect_stable","Low-alpha recognition, stable effect",120,30,"condition_by_memory",500,1,1,0.496955161408719,0.042,0.0235178767772631,0.55
"recognition_alpha_low_effect_stable","Low-alpha recognition, stable effect",300,15,"base_condition",500,1,1,0.501710223039797,NA,0.0180430626343018,0.55
"recognition_alpha_low_effect_stable","Low-alpha recognition, stable effect",300,15,"condition_by_memory",500,1,1,0.503057827553877,0.052,0.0237256421380324,0.55
"recognition_alpha_low_effect_stable","Low-alpha recognition, stable effect",300,30,"base_condition",500,1,1,0.504385713191435,NA,0.0181328985051276,0.55
"recognition_alpha_low_effect_stable","Low-alpha recognition, stable effect",300,30,"condition_by_memory",500,1,1,0.50631760843813,0.062,0.0238860027484971,0.55
