scenario,n_person,k_per_condition,scenario_label,base,guessing,person_intercept_sd,memory_score_slope,item_intercept_sd,delta,person_slope_sd,item_slope_sd,memory_moderation,interpretation,total_words,person_slope_sd_unmodeled,effect_sampling_sd_unmodeled,effect_sampling_sd_memory_adjusted,effect_signal_ratio_unmodeled,effect_signal_ratio_memory_adjusted,main_bottleneck
alpha_high_effect_stable,30,5,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,10,0.05,0.01825741858350554,0.01825741858350554,0.9994077583654132,0.9994077583654132,items
alpha_high_effect_stable,30,10,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,20,0.05,0.014433756729740645,0.014433756729740645,0.9996297667530544,0.9996297667530544,items
alpha_high_effect_stable,30,15,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,30,0.05,0.012909944487358056,0.012909944487358056,0.9997037914691943,0.9997037914691943,both
alpha_high_effect_stable,30,30,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,60,0.05,0.011180339887498949,0.011180339887498949,0.9997778271495222,0.9997778271495222,participants
alpha_high_effect_stable,30,60,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,120,0.05,0.010206207261596576,0.010206207261596576,0.9998148491020181,0.9998148491020181,participants
alpha_high_effect_stable,30,100,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,200,0.05,0.00978945010372561,0.00978945010372561,0.9998296586507485,0.9998296586507485,participants
alpha_high_effect_stable,60,5,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,10,0.05,0.017078251276599333,0.017078251276599333,0.9994817502035981,0.9994817502035981,items
alpha_high_effect_stable,60,10,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,20,0.05,0.012909944487358056,0.012909944487358056,0.9997037914691943,0.9997037914691943,items
alpha_high_effect_stable,60,15,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,30,0.05,0.011180339887498949,0.011180339887498949,0.9997778271495222,0.9997778271495222,items
alpha_high_effect_stable,60,30,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,60,0.05,0.00912870929175277,0.00912870929175277,0.9998518737964747,0.9998518737964747,both
alpha_high_effect_stable,60,60,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,120,0.05,0.007905694150420948,0.007905694150420948,0.9998889012331964,0.9998889012331964,participants
alpha_high_effect_stable,60,100,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,200,0.05,0.007359800721939873,0.007359800721939873,0.9999037129757875,0.9999037129757875,participants
