scenario,n_person,k_per_condition,total_words,model,n_rep,estimable_rate,sig_rate,condition_beta_median,memory_interaction_beta_median,memory_interaction_sig_rate,r2_marginal_median,r2_conditional_median,var_participant_median,var_word_median,scenario_label,delta,interpretation
alpha_high_effect_stable,120,15,30,base_condition,500,1,1,0.7291202114109451,NA,NA,0.028968400587700577,0.281861943764152,0.8585338484939942,0.2854028544079277,"High alpha, stable effect",0.75,Alpha and effect model agree; low item/person treatment heterogeneity.
alpha_high_effect_stable,120,15,30,condition_by_memory,500,1,1,0.7310639998857422,-0.004295498706269151,0.06,0.05399573091147612,0.2810422998946639,0.7395760373250808,0.28501475830750617,"High alpha, stable effect",0.75,Alpha and effect model agree; low item/person treatment heterogeneity.
alpha_high_effect_stable,120,30,60,base_condition,500,1,1,0.7334746342854315,NA,NA,0.029027696936569963,0.28627888805909774,0.8869219346407231,0.2935258779492632,"High alpha, stable effect",0.75,Alpha and effect model agree; low item/person treatment heterogeneity.
alpha_high_effect_stable,120,30,60,condition_by_memory,500,1,1,0.7333343056670312,-0.00011413366907777241,0.062,0.05585756106170357,0.2851685051854641,0.7480223515625996,0.2933843571975679,"High alpha, stable effect",0.75,Alpha and effect model agree; low item/person treatment heterogeneity.
alpha_high_effect_stable,300,15,30,base_condition,500,1,1,0.7260259791070247,NA,NA,0.028795244274447067,0.28465679137798156,0.8738488742820255,0.2940760885720962,"High alpha, stable effect",0.75,Alpha and effect model agree; low item/person treatment heterogeneity.
alpha_high_effect_stable,300,15,30,condition_by_memory,500,1,1,0.7262142879654971,0.0032072486931506656,0.056,0.053385864121094126,0.28333250041482044,0.7509354006852065,0.2928860695954524,"High alpha, stable effect",0.75,Alpha and effect model agree; low item/person treatment heterogeneity.
alpha_high_effect_stable,300,30,60,base_condition,500,1,1,0.7365663048898646,NA,NA,0.029311527442859486,0.2865107499486189,0.8903352397179702,0.29768169476538475,"High alpha, stable effect",0.75,Alpha and effect model agree; low item/person treatment heterogeneity.
alpha_high_effect_stable,300,30,60,condition_by_memory,500,1,1,0.7370282969609754,1.1716420243310838e-4,0.038,0.05470909778137851,0.28557872526815625,0.7574402818911772,0.2976018630467542,"High alpha, stable effect",0.75,Alpha and effect model agree; low item/person treatment heterogeneity.
alpha_high_item_sensitive,120,15,30,base_condition,500,1,1,0.7136256610322715,NA,NA,0.027225799572513462,0.2889861675105809,0.8235977305071445,0.374233585805864,"High alpha, item-sensitive effect",0.75,Alpha can be high while the treatment effect depends strongly on which words were sampled.
alpha_high_item_sensitive,120,15,30,condition_by_memory,500,1,1,0.7154975876363636,-0.02118501321271469,0.048,0.05211309610871273,0.28827686254675255,0.7001783212089583,0.37387633537354925,"High alpha, item-sensitive effect",0.75,Alpha can be high while the treatment effect depends strongly on which words were sampled.
alpha_high_item_sensitive,120,30,60,base_condition,500,1,1,0.7231272683306633,NA,NA,0.02821451926678462,0.2920870129701585,0.8394019861408758,0.3842995080025047,"High alpha, item-sensitive effect",0.75,Alpha can be high while the treatment effect depends strongly on which words were sampled.
alpha_high_item_sensitive,120,30,60,condition_by_memory,500,1,1,0.7233325448218187,-0.01501605769068481,0.05,0.052553590249602086,0.2912722380597656,0.7182907513535701,0.3839839314217557,"High alpha, item-sensitive effect",0.75,Alpha can be high while the treatment effect depends strongly on which words were sampled.
alpha_high_item_sensitive,300,15,30,base_condition,500,1,1,0.7140350413527501,NA,NA,0.02743807040748949,0.2922477272313664,0.8528148426166874,0.36754813201976333,"High alpha, item-sensitive effect",0.75,Alpha can be high while the treatment effect depends strongly on which words were sampled.
alpha_high_item_sensitive,300,15,30,condition_by_memory,500,1,1,0.7154629082374597,-0.01486864509889771,0.054,0.05215737923881859,0.29097760096616654,0.7257874546034714,0.3669680528113146,"High alpha, item-sensitive effect",0.75,Alpha can be high while the treatment effect depends strongly on which words were sampled.
alpha_high_item_sensitive,300,30,60,base_condition,500,1,1,0.7289533042370844,NA,NA,0.028432587019075167,0.29437236925118404,0.8460498231103482,0.3741445316599436,"High alpha, item-sensitive effect",0.75,Alpha can be high while the treatment effect depends strongly on which words were sampled.
alpha_high_item_sensitive,300,30,60,condition_by_memory,500,1,1,0.7301109752799111,-0.019517987921560606,0.094,0.05267073478290596,0.2933260972829115,0.7266573537374025,0.37351286380923177,"High alpha, item-sensitive effect",0.75,Alpha can be high while the treatment effect depends strongly on which words were sampled.
alpha_high_person_sensitive,120,15,30,base_condition,500,1,1,0.7070507486560917,NA,NA,0.02719305498323784,0.2881978450688658,0.924810040701801,0.26880563007711755,"High alpha, person-sensitive effect",0.75,Alpha can be high while the treatment effect varies across learners.
alpha_high_person_sensitive,120,15,30,condition_by_memory,500,1,1,0.7057838324424168,-0.02411625383046523,0.114,0.05148446131017405,0.28697611124503963,0.8016823027387708,0.26745333038698527,"High alpha, person-sensitive effect",0.75,Alpha can be high while the treatment effect varies across learners.
alpha_high_person_sensitive,120,30,60,base_condition,500,1,1,0.7107945739089616,NA,NA,0.027403850781400858,0.2916236592636978,0.9339912138957751,0.28169098041505924,"High alpha, person-sensitive effect",0.75,Alpha can be high while the treatment effect varies across learners.
alpha_high_person_sensitive,120,30,60,condition_by_memory,500,1,1,0.7115201661082846,-0.018616735615828068,0.168,0.05227507468012879,0.29118741788459335,0.8190278999423645,0.2816607285492331,"High alpha, person-sensitive effect",0.75,Alpha can be high while the treatment effect varies across learners.
alpha_high_person_sensitive,300,15,30,base_condition,500,1,1,0.7179983857595863,NA,NA,0.027766867346904457,0.2888725960286209,0.9315734833582459,0.2766665651143881,"High alpha, person-sensitive effect",0.75,Alpha can be high while the treatment effect varies across learners.
alpha_high_person_sensitive,300,15,30,condition_by_memory,500,1,1,0.7180341990139941,-0.022316622632431237,0.122,0.05140066714338706,0.2876722325186719,0.8062566880290818,0.27659139801642263,"High alpha, person-sensitive effect",0.75,Alpha can be high while the treatment effect varies across learners.
alpha_high_person_sensitive,300,30,60,base_condition,500,1,1,0.7217010737814489,NA,NA,0.02794133752549452,0.2908735183451328,0.9396879845340507,0.2807681736318538,"High alpha, person-sensitive effect",0.75,Alpha can be high while the treatment effect varies across learners.
alpha_high_person_sensitive,300,30,60,condition_by_memory,500,1,1,0.7203364604086527,-0.022166897842749285,0.19,0.05269094069093659,0.2901817795244317,0.8193006511713579,0.28069119340266974,"High alpha, person-sensitive effect",0.75,Alpha can be high while the treatment effect varies across learners.
high_load_memory_moderated,120,15,30,base_condition,500,1,1,0.6395557257071416,NA,NA,0.019465761688095613,0.3804103733815276,1.6210254651626914,0.2840660746634688,"High load, memory-moderated effect",0.55,High-load learning can yield high alpha because memory aptitude dominates; condition effects should be tested with memory moderation.
high_load_memory_moderated,120,15,30,condition_by_memory,500,1,1,0.529585939604458,0.6117641251031931,1,0.24680574543239991,0.3843030016653063,0.4555279166038505,0.2902725064888376,"High load, memory-moderated effect",0.55,High-load learning can yield high alpha because memory aptitude dominates; condition effects should be tested with memory moderation.
high_load_memory_moderated,120,30,60,base_condition,500,1,1,0.6603326005829597,NA,NA,0.02040922931661711,0.3832075715797668,1.6406281218362508,0.28572513351891016,"High load, memory-moderated effect",0.55,High-load learning can yield high alpha because memory aptitude dominates; condition effects should be tested with memory moderation.
high_load_memory_moderated,120,30,60,condition_by_memory,500,1,1,0.544184456399615,0.626322647804034,1,0.248754475289352,0.3901799128066817,0.4561245645730293,0.2949249710192873,"High load, memory-moderated effect",0.55,High-load learning can yield high alpha because memory aptitude dominates; condition effects should be tested with memory moderation.
high_load_memory_moderated,300,15,30,base_condition,500,1,1,0.6544945286604915,NA,NA,0.02004693389244127,0.3837357874075581,1.6504661116562147,0.27834022003057207,"High load, memory-moderated effect",0.55,High-load learning can yield high alpha because memory aptitude dominates; condition effects should be tested with memory moderation.
high_load_memory_moderated,300,15,30,condition_by_memory,500,1,1,0.5362544107282661,0.6174413548872459,1,0.24968354902795564,0.3896320880572689,0.4565724521919331,0.28646240563704684,"High load, memory-moderated effect",0.55,High-load learning can yield high alpha because memory aptitude dominates; condition effects should be tested with memory moderation.
high_load_memory_moderated,300,30,60,base_condition,500,1,1,0.6627939688601697,NA,NA,0.020642461344822824,0.38372618878544484,1.6444401112446627,0.28982806113509685,"High load, memory-moderated effect",0.55,High-load learning can yield high alpha because memory aptitude dominates; condition effects should be tested with memory moderation.
high_load_memory_moderated,300,30,60,condition_by_memory,500,1,1,0.5430385759915006,0.6274825253678329,1,0.2510983459172468,0.392559207868,0.46472663808220993,0.2983096729709712,"High load, memory-moderated effect",0.55,High-load learning can yield high alpha because memory aptitude dominates; condition effects should be tested with memory moderation.
recognition_alpha_low_effect_stable,120,15,30,base_condition,500,1,1,0.5012936481270767,NA,NA,0.01813503599097528,0.05949443558260743,0.09133483833786515,0.046672242986951815,"Low-alpha recognition, stable effect",0.55,"Recognition can have low alpha because of ceiling/guessing, while a uniform condition effect is still estimable."
recognition_alpha_low_effect_stable,120,15,30,condition_by_memory,500,1,1,0.5030324748189827,0.002747212311578833,0.05,0.02475422776360161,0.06062136577509454,0.07014574796266222,0.0463514493742985,"Low-alpha recognition, stable effect",0.55,"Recognition can have low alpha because of ceiling/guessing, while a uniform condition effect is still estimable."
recognition_alpha_low_effect_stable,120,30,60,base_condition,500,1,1,0.49640951219959795,NA,NA,0.01756081665674103,0.06221681557129498,0.10571023126625201,0.0489151736440413,"Low-alpha recognition, stable effect",0.55,"Recognition can have low alpha because of ceiling/guessing, while a uniform condition effect is still estimable."
recognition_alpha_low_effect_stable,120,30,60,condition_by_memory,500,1,1,0.49695516140871915,-6.613201240575183e-4,0.042,0.02351787677726307,0.062234083529866334,0.08297177410928577,0.04883588898550665,"Low-alpha recognition, stable effect",0.55,"Recognition can have low alpha because of ceiling/guessing, while a uniform condition effect is still estimable."
recognition_alpha_low_effect_stable,300,15,30,base_condition,500,1,1,0.5017102230397972,NA,NA,0.01804306263430179,0.06048683907578807,0.09804090133699822,0.046846952242613836,"Low-alpha recognition, stable effect",0.55,"Recognition can have low alpha because of ceiling/guessing, while a uniform condition effect is still estimable."
recognition_alpha_low_effect_stable,300,15,30,condition_by_memory,500,1,1,0.5030578275538766,0.0028512073714826564,0.052,0.023725642138032375,0.061086284850357886,0.08019267093415874,0.04684992307722127,"Low-alpha recognition, stable effect",0.55,"Recognition can have low alpha because of ceiling/guessing, while a uniform condition effect is still estimable."
recognition_alpha_low_effect_stable,300,30,60,base_condition,500,1,1,0.5043857131914345,NA,NA,0.018132898505127636,0.06269480217156168,0.10319687571689526,0.050228950257251936,"Low-alpha recognition, stable effect",0.55,"Recognition can have low alpha because of ceiling/guessing, while a uniform condition effect is still estimable."
recognition_alpha_low_effect_stable,300,30,60,condition_by_memory,500,1,1,0.5063176084381305,0.005605097104792175,0.062,0.023886002748497094,0.06282458521876766,0.08411942442310257,0.050178903612961415,"Low-alpha recognition, stable effect",0.55,"Recognition can have low alpha because of ceiling/guessing, while a uniform condition effect is still estimable."
